id,symbol,name,priceUsd,marketCapUsd,volumeUsd24Hr,last_updated
usd-coin,USDC,USDC,1.0001485375568806,76755506253.88467,3857999931.0354815,2026-05-14 02:40:32
solana,SOL,Solana,91.04,52621259661.69228,2905928891.7068124,2026-05-14 02:40:32
tron,TRX,TRON,0.350358,33213414815.165276,428571489.5982403,2026-05-14 02:40:32
steth,STETH,Lido Staked ETH,2261.4,19839789360.099365,2862393.183538848,2026-05-14 02:40:32
dogecoin,DOGE,Dogecoin,0.1139099999999999,17567931090.267864,1537495263.3846302,2026-05-14 02:40:32
bitcoin,BTC,Bitcoin,80923.83,1620858754783.71,35230196537.61458,2026-05-15 02:40:57
ethereum,ETH,Ethereum,2268.3,273752446162.28857,11966619066.01194,2026-05-15 02:40:57
tether,USDT,Tether USDt,0.9999,189838500771.57404,604777744.8125896,2026-05-15 02:40:57
xrp,XRP,XRP,1.482,91582005799.752,3023531923.7836146,2026-05-15 02:40:57
binance-coin,BNB,BNB,678.7486241250001,91485435753.07504,934441350.7266403,2026-05-15 02:40:57
usd-coin,USDC,USDC,0.99999,76622386474.45436,4495841936.214163,2026-05-15 02:40:57
solana,SOL,Solana,91.7891874,53054226958.12201,2761010462.141988,2026-05-15 02:40:57
tron,TRX,TRON,0.3532943,33491992024.509445,508332923.72830176,2026-05-15 02:40:57
steth,STETH,Lido Staked ETH,2267.36,19872377528.281338,3046272.733878336,2026-05-15 02:40:57
dogecoin,DOGE,Dogecoin,0.115745,19671079555.035896,1899940434.7436447,2026-05-15 02:40:57
bitcoin,BTC,Bitcoin,79165.75999999998,1585679960416.96,28856267479.78429,2026-05-16 02:30:40
ethereum,ETH,Ethereum,2228.89,268996015770.76172,11363589332.783415,2026-05-16 02:30:40
tether,USDT,Tether USDt,0.999668599123228,189794567582.7315,578370066.6746917,2026-05-16 02:30:40
binance-coin,BNB,BNB,670.44,90365523173.736,849711494.6630083,2026-05-16 02:30:40
xrp,XRP,XRP,1.4378671845321076,88854764394.7993,1797787112.69515,2026-05-16 02:30:40
usd-coin,USDC,USDC,1.0003,77009872007.86569,4542484658.623601,2026-05-16 02:30:40
solana,SOL,Solana,89.17,51550928074.28139,2304049714.6222568,2026-05-16 02:30:40
tron,TRX,TRON,0.35147817,33319840997.75008,477902550.6433416,2026-05-16 02:30:40
steth,STETH,Lido Staked ETH,2228.82,19531534898.752518,9708818.712626114,2026-05-16 02:30:40
